SKU,Nombre,Descripción,Costo producción lote (USD),# Ingredientes,Duración esperada (hrs),Equivalencia unidades bodega,Unidad,Lote producción,Tiempo esperado producción (mins),Grupos Productores,Total Grupos Productores,Producción
FRINT,Intermedio (ubicado en France),Piloto con más de 50 horas de vuelo,84,-,20,1,-,2,10,"['1', '3', '5', '7', '9', '11']",6,materia prima
FREXP,Experto (ubicado en France),Piloto con más de 80 horas de vuelo,105,-,20,1,-,2,10,"['1', '3', '5', '7', '9', '11']",6,materia prima
FROFC,Oficial (ubicado en France),Piloto con más de 100 horas de vuelo,126,-,20,1,-,2,10,"['1', '3', '5', '7', '9', '11']",6,materia prima
FRCPT,Capitán (ubicado en France),Piloto con más de 200 horas de vuelo,147,-,20,1,-,2,10,"['1', '3', '5', '7', '9', '11']",6,materia prima
FRCMD,Comandante (ubicado en France),Piloto con más de 500 horas de vuelo,168,-,20,1,-,2,10,"['1', '3', '5', '7', '9', '11']",6,materia prima
AUBOE737,Boeing 737 (ubicado en Australia),El Boeing 737 es el de menor rango operativo. Oscila de 2000 a 4000 kilómetros de distancia. Posee un doble pasillo central de carga. Esta clase de avión transporta carga suelta de hasta dos toneladas. Suele ser usado para vuelos de corta distancia.,420,-,20,1,-,1,15,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
AUAB320,Airbus 320 (ubicado en Australia),el Airbus 320 es una aeronave mixta que transporta mercancía en su bodega. Su rango operativo va desde los 4000 a los 6000 km.,630,-,20,1,-,1,15,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
AUAB330,Airbus 330 (ubicado en Australia),el Airbus 330 es una aeronave mixta que transporta mercancía en su bodega. Su rango operativo va desde los 6000 a los 9000 km.,840,-,20,1,-,1,15,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
AUAB340,Airbus 340  (ubicado en Australia),El Airbus 340 es un avión de pasajeros cuya bodega es usada para el transporte de mercancía. Posee cuatro turbinas y un rango de desplazamiento de 9000 a 11000 kilómetros de distancia.,1050,-,20,1,-,1,15,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
AUBOE747,Boeing 747 (ubicado en Australia),El Boeing 747 estándar es uno de los aviones mixtos de mayor rango operativo. siendo éste de 13.300 kilómetros para el modelo 400. Posee bahías de carga para pallets en la parte delantera y posterior.,1260,-,20,1,-,1,15,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
AUNOV,Novato (ubicado en Australia),Piloto con menos de 30 horas de vuelo,73,-,20,1,-,2,10,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
AUINT,Intermedio (ubicado en Australia),Piloto con más de 50 horas de vuelo,98,-,20,1,-,2,10,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
AUEXP,Experto (ubicado en Australia),Piloto con más de 80 horas de vuelo,122,-,20,1,-,2,10,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
AUOFC,Oficial (ubicado en Australia),Piloto con más de 100 horas de vuelo,147,-,20,1,-,2,10,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
AUCPT,Capitán (ubicado en Australia),Piloto con más de 200 horas de vuelo,171,-,20,1,-,2,10,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
AUCMD,Comandante (ubicado en Australia),Piloto con más de 500 horas de vuelo,196,-,20,1,-,2,10,"['13', '14', '15', '16', '17', '18', '19']",7,materia prima
CHBOE737,Boeing 737 (ubicado en China),El Boeing 737 es el de menor rango operativo. Oscila de 2000 a 4000 kilómetros de distancia. Posee un doble pasillo central de carga. Esta clase de avión transporta carga suelta de hasta dos toneladas. Suele ser usado para vuelos de corta distancia.,630,-,20,1,-,1,15,"['1', '3', '5', '7', '9', '11']",6,materia prima
CHAB320,Airbus 320 (ubicado en China),el Airbus 320 es una aeronave mixta que transporta mercancía en su bodega. Su rango operativo va desde los 4000 a los 6000 km.,945,-,20,1,-,1,15,"['1', '3', '5', '7', '9', '11']",6,materia prima
CHAB330,Airbus 330 (ubicado en China),el Airbus 330 es una aeronave mixta que transporta mercancía en su bodega. Su rango operativo va desde los 6000 a los 9000 km.,1260,-,20,1,-,1,15,"['1', '3', '5', '7', '9', '11']",6,materia prima
CHAB340,Airbus 340  (ubicado en China),El Airbus 340 es un avión de pasajeros cuya bodega es usada para el transporte de mercancía. Posee cuatro turbinas y un rango de desplazamiento de 9000 a 11000 kilómetros de distancia.,1575,-,20,1,-,1,15,"['1', '3', '5', '7', '9', '11']",6,materia prima
CHBOE747,Boeing 747 (ubicado en China),El Boeing 747 estándar es uno de los aviones mixtos de mayor rango operativo. siendo éste de 13.300 kilómetros para el modelo 400. Posee bahías de carga para pallets en la parte delantera y posterior.,1890,-,20,1,-,1,15,"['1', '3', '5', '7', '9', '11']",6,materia prima
CHNOV,Novato (ubicado en China),Piloto con menos de 30 horas de vuelo,63,-,20,1,-,2,10,"['1', '3', '5', '7', '9', '11']",6,materia prima
CHINT,Intermedio (ubicado en China),Piloto con más de 50 horas de vuelo,84,-,20,1,-,2,10,"['1', '3', '5', '7', '9', '11']",6,materia prima
CHEXP,Experto (ubicado en China),Piloto con más de 80 horas de vuelo,105,-,20,1,-,2,10,"['1', '3', '5', '7', '9', '11']",6,materia prima
CHOFC,Oficial (ubicado en China),Piloto con más de 100 horas de vuelo,126,-,20,1,-,2,10,"['1', '3', '5', '7', '9', '11']",6,materia prima
CHCPT,Capitán (ubicado en China),Piloto con más de 200 horas de vuelo,147,-,20,1,-,2,10,"['1', '3', '5', '7', '9', '11']",6,materia prima
CHCMD,Comandante (ubicado en China),Piloto con más de 500 horas de vuelo,168,-,20,1,-,2,10,"['1', '3', '5', '7', '9', '11']",6,materia prima
MRBOE737,Boeing 737 (ubicado en Morocco),El Boeing 737 es el de menor rango operativo. Oscila de 2000 a 4000 kilómetros de distancia. Posee un doble pasillo central de carga. Esta clase de avión transporta carga suelta de hasta dos toneladas. Suele ser usado para vuelos de corta distancia.,630,-,20,1,-,1,15,"['2', '4', '6', '8', '10', '12']",6,materia prima
MRAB320,Airbus 320 (ubicado en Morocco),el Airbus 320 es una aeronave mixta que transporta mercancía en su bodega. Su rango operativo va desde los 4000 a los 6000 km.,945,-,20,1,-,1,15,"['2', '4', '6', '8', '10', '12']",6,materia prima
MRAB330,Airbus 330 (ubicado en Morocco),el Airbus 330 es una aeronave mixta que transporta mercancía en su bodega. Su rango operativo va desde los 6000 a los 9000 km.,1260,-,20,1,-,1,15,"['2', '4', '6', '8', '10', '12']",6,materia prima
MRAB340,Airbus 340  (ubicado en Morocco),El Airbus 340 es un avión de pasajeros cuya bodega es usada para el transporte de mercancía. Posee cuatro turbinas y un rango de desplazamiento de 9000 a 11000 kilómetros de distancia.,1575,-,20,1,-,1,15,"['2', '4', '6', '8', '10', '12']",6,materia prima
MRBOE747,Boeing 747 (ubicado en Morocco),El Boeing 747 estándar es uno de los aviones mixtos de mayor rango operativo. siendo éste de 13.300 kilómetros para el modelo 400. Posee bahías de carga para pallets en la parte delantera y posterior.,1890,-,20,1,-,1,15,"['2', '4', '6', '8', '10', '12']",6,materia prima
MRNOV,Novato (ubicado en Morocco),Piloto con menos de 30 horas de vuelo,63,-,20,1,-,2,10,"['2', '4', '6', '8', '10', '12']",6,materia prima
MRINT,Intermedio (ubicado en Morocco),Piloto con más de 50 horas de vuelo,84,-,20,1,-,2,10,"['2', '4', '6', '8', '10', '12']",6,materia prima
MREXP,Experto (ubicado en Morocco),Piloto con más de 80 horas de vuelo,105,-,20,1,-,2,10,"['2', '4', '6', '8', '10', '12']",6,materia prima
MROFC,Oficial (ubicado en Morocco),Piloto con más de 100 horas de vuelo,126,-,20,1,-,2,10,"['2', '4', '6', '8', '10', '12']",6,materia prima
MRCPT,Capitán (ubicado en Morocco),Piloto con más de 200 horas de vuelo,147,-,20,1,-,2,10,"['2', '4', '6', '8', '10', '12']",6,materia prima
MRCMD,Comandante (ubicado en Morocco),Piloto con más de 500 horas de vuelo,168,-,20,1,-,2,10,"['2', '4', '6', '8', '10', '12']",6,materia prima
SCLIAD,Reserva vuelo SCLIAD,Reserva de vuelo entre Comodoro Arturo Merino Benitez International Airport y Washington-Dulles International Airport,723,4,12,1,-,1,7,"['2', '4', '6', '8', '10', '12']",6,producto intermedio
IADCDG,Reserva vuelo IADCDG,Reserva de vuelo entre Washington-Dulles International Airport y Charles De Gaulle International Airport,559,4,16,1,-,1,5,"['1', '3', '5', '7', '9', '11']",6,producto intermedio
IADMEL,Reserva vuelo IADMEL,Reserva de vuelo entre Washington-Dulles International Airport y Melbourne International Airport,1471,4,6,1,-,1,14,"['13', '14', '15', '16', '17', '18', '19']",7,producto intermedio
IADPEK,Reserva vuelo IADPEK,Reserva de vuelo entre Washington-Dulles International Airport y Pekin International Airport,1002,4,8,1,-,1,10,"['1', '3', '5', '7', '9', '11']",6,producto intermedio
IADFEZ,Reserva vuelo IADFEZ,Reserva de vuelo entre Washington-Dulles International Airport y Fez-Saïss Airport,571,4,15,1,-,1,5,"['2', '4', '6', '8', '10', '12']",6,producto intermedio
SCLCDG,Reserva vuelo SCLCDG,Reserva de vuelo entre Comodoro Arturo Merino Benitez International Airport y Charles De Gaulle International Airport,1048,4,8,1,-,1,10,"['1', '3', '5', '7', '9', '11']",6,producto intermedio
CDGIAD,Reserva vuelo CDGIAD,Reserva de vuelo entre Charles De Gaulle International Airport y Washington-Dulles International Airport,559,4,16,1,-,1,5,"['2', '4', '6', '8', '10', '12']",6,producto intermedio
CDGMEL,Reserva vuelo CDGMEL,Reserva de vuelo entre Charles De Gaulle International Airport y Melbourne International Airport,1507,4,5,1,-,1,15,"['13', '14', '15', '16', '17', '18', '19']",7,producto intermedio
CDGPEK,Reserva vuelo CDGPEK,Reserva de vuelo entre Charles De Gaulle International Airport y Pekin International Airport,739,4,12,1,-,1,7,"['1', '3', '5', '7', '9', '11']",6,producto intermedio
CDGFEZ,Reserva vuelo CDGFEZ,Reserva de vuelo entre Charles De Gaulle International Airport y Fez-Saïss Airport,160,4,55,1,-,1,1,"['2', '4', '6', '8', '10', '12']",6,producto intermedio
SCLMEL,Reserva vuelo SCLMEL,Reserva de vuelo entre Comodoro Arturo Merino Benitez International Airport y Melbourne International Airport,1018,4,8,1,-,1,10,"['13', '14', '15', '16', '17', '18', '19']",7,producto intermedio
MELIAD,Reserva vuelo MELIAD,Reserva de vuelo entre Melbourne International Airport y Washington-Dulles International Airport,1471,4,6,1,-,1,14,"['2', '4', '6', '8', '10', '12']",6,producto intermedio
MELCDG,Reserva vuelo MELCDG,Reserva de vuelo entre Melbourne International Airport y Charles De Gaulle International Airport,1507,4,5,1,-,1,15,"['1', '3', '5', '7', '9', '11']",6,producto intermedio
MELPEK,Reserva vuelo MELPEK,Reserva de vuelo entre Melbourne International Airport y Pekin International Airport,817,4,11,1,-,1,8,"['1', '3', '5', '7', '9', '11']",6,producto intermedio
MELFEZ,Reserva vuelo MELFEZ,Reserva de vuelo entre Melbourne International Airport y Fez-Saïss Airport,1555,4,5,1,-,1,15,"['2', '4', '6', '8', '10', '12']",6,producto intermedio
SCLPEK,Reserva vuelo SCLPEK,Reserva de vuelo entre Comodoro Arturo Merino Benitez International Airport y Pekin International Airport,1711,4,5,1,-,1,17,"['1', '3', '5', '7', '9', '11']",6,producto intermedio
PEKIAD,Reserva vuelo PEKIAD,Reserva de vuelo entre Pekin International Airport y Washington-Dulles International Airport,1002,4,8,1,-,1,10,"['2', '4', '6', '8', '10', '12']",6,producto intermedio
PEKCDG,Reserva vuelo PEKCDG,Reserva de vuelo entre Pekin International Airport y Charles De Gaulle International Airport,739,4,12,1,-,1,7,"['1', '3', '5', '7', '9', '11']",6,producto intermedio
PEKMEL,Reserva vuelo PEKMEL,Reserva de vuelo entre Pekin International Airport y Melbourne International Airport,817,4,11,1,-,1,8,"['13', '14', '15', '16', '17', '18', '19']",7,producto intermedio
PEKFEZ,Reserva vuelo PEKFEZ,Reserva de vuelo entre Pekin International Airport y Fez-Saïss Airport,887,4,10,1,-,1,8,"['2', '4', '6', '8', '10', '12']",6,producto intermedio
SCLFEZ,Reserva vuelo SCLFEZ,Reserva de vuelo entre Comodoro Arturo Merino Benitez International Airport y Fez-Saïss Airport,912,4,9,1,-,1,9,"['2', '4', '6', '8', '10', '12']",6,producto intermedio
FEZIAD,Reserva vuelo FEZIAD,Reserva de vuelo entre Fez-Saïss Airport y Washington-Dulles International Airport,571,4,15,1,-,1,5,"['2', '4', '6', '8', '10', '12']",6,producto intermedio
FEZCDG,Reserva vuelo FEZCDG,Reserva de vuelo entre Fez-Saïss Airport y Charles De Gaulle International Airport,160,4,55,1,-,1,1,"['1', '3', '5', '7', '9', '11']",6,producto intermedio
FEZMEL,Reserva vuelo FEZMEL,Reserva de vuelo entre Fez-Saïss Airport y Melbourne International Airport,1555,4,5,1,-,1,15,"['13', '14', '15', '16', '17', '18', '19']",7,producto intermedio
FEZPEK,Reserva vuelo FEZPEK,Reserva de vuelo entre Fez-Saïss Airport y Pekin International Airport,887,4,10,1,-,1,8,"['1', '3', '5', '7', '9', '11']",6,producto intermedio
IADSCL,Reserva vuelo IADSCL,Reserva de vuelo entre Washington-Dulles International Airport y Comodoro Arturo Merino Benitez International Airport,723,4,12,1,-,1,7,"['13', '14', '15', '16', '17', '18', '19']",7,producto intermedio
CDGSCL,Reserva vuelo CDGSCL,Reserva de vuelo entre Charles De Gaulle International Airport y Comodoro Arturo Merino Benitez International Airport,1048,4,8,1,-,1,10,"['13', '14', '15', '16', '17', '18', '19']",7,producto intermedio
MELSCL,Reserva vuelo MELSCL,Reserva de vuelo entre Melbourne International Airport y Comodoro Arturo Merino Benitez International Airport,1018,4,8,1,-,1,10,"['13', '14', '15', '16', '17', '18', '19']",7,producto intermedio
PEKSCL,Reserva vuelo PEKSCL,Reserva de vuelo entre Pekin International Airport y Comodoro Arturo Merino Benitez International Airport,1711,4,5,1,-,1,17,"['13', '14', '15', '16', '17', '18', '19']",7,producto intermedio
FEZSCL,Reserva vuelo FEZSCL,Reserva de vuelo entre Fez-Saïss Airport y Comodoro Arturo Merino Benitez International Airport,912,4,9,1,-,1,9,"['13', '14', '15', '16', '17', '18', '19']",7,producto intermedio
SCLIADCDG,Reserva vuelo con escala SCLIADCDG,Reserva de vuelo entre SCL y CDG con escala en IAD. Requiere un vuelo SCLIAD y un vuelo IADCDG,1282,2,28,1,-,1,12,"['2', '4', '6', '8', '10', '12', '1', '3', '5', '7', '9', '11']",12,producto final
SCLIADMEL,Reserva vuelo con escala SCLIADMEL,Reserva de vuelo entre SCL y MEL con escala en IAD. Requiere un vuelo SCLIAD y un vuelo IADMEL,2194,2,18,1,-,1,21,"['2', '4', '6', '8', '10', '12', '13', '14', '15', '16', '17', '18', '19']",13,producto final
SCLIADPEK,Reserva vuelo con escala SCLIADPEK,Reserva de vuelo entre SCL y PEK con escala en IAD. Requiere un vuelo SCLIAD y un vuelo IADPEK,1725,2,20,1,-,1,17,"['2', '4', '6', '8', '10', '12', '1', '3', '5', '7', '9', '11']",12,producto final
SCLIADFEZ,Reserva vuelo con escala SCLIADFEZ,Reserva de vuelo entre SCL y FEZ con escala en IAD. Requiere un vuelo SCLIAD y un vuelo IADFEZ,1294,2,27,1,-,1,12,"['2', '4', '6', '8', '10', '12', '2', '4', '6', '8', '10', '12']",12,producto final
SCLCDGIAD,Reserva vuelo con escala SCLCDGIAD,Reserva de vuelo entre SCL y IAD con escala en CDG. Requiere un vuelo SCLCDG y un vuelo CDGIAD,1607,2,24,1,-,1,15,"['1', '3', '5', '7', '9', '11', '2', '4', '6', '8', '10', '12']",12,producto final
SCLCDGMEL,Reserva vuelo con escala SCLCDGMEL,Reserva de vuelo entre SCL y MEL con escala en CDG. Requiere un vuelo SCLCDG y un vuelo CDGMEL,2555,2,13,1,-,1,25,"['1', '3', '5', '7', '9', '11', '13', '14', '15', '16', '17', '18', '19']",13,producto final
SCLCDGPEK,Reserva vuelo con escala SCLCDGPEK,Reserva de vuelo entre SCL y PEK con escala en CDG. Requiere un vuelo SCLCDG y un vuelo CDGPEK,1787,2,20,1,-,1,17,"['1', '3', '5', '7', '9', '11', '1', '3', '5', '7', '9', '11']",12,producto final
SCLCDGFEZ,Reserva vuelo con escala SCLCDGFEZ,Reserva de vuelo entre SCL y FEZ con escala en CDG. Requiere un vuelo SCLCDG y un vuelo CDGFEZ,1208,2,63,1,-,1,11,"['1', '3', '5', '7', '9', '11', '2', '4', '6', '8', '10', '12']",12,producto final
SCLMELIAD,Reserva vuelo con escala SCLMELIAD,Reserva de vuelo entre SCL y IAD con escala en MEL. Requiere un vuelo SCLMEL y un vuelo MELIAD,2489,2,14,1,-,1,24,"['13', '14', '15', '16', '17', '18', '19', '2', '4', '6', '8', '10', '12']",13,producto final
SCLMELCDG,Reserva vuelo con escala SCLMELCDG,Reserva de vuelo entre SCL y CDG con escala en MEL. Requiere un vuelo SCLMEL y un vuelo MELCDG,2525,2,13,1,-,1,25,"['13', '14', '15', '16', '17', '18', '19', '1', '3', '5', '7', '9', '11']",13,producto final
SCLMELPEK,Reserva vuelo con escala SCLMELPEK,Reserva de vuelo entre SCL y PEK con escala en MEL. Requiere un vuelo SCLMEL y un vuelo MELPEK,1835,2,19,1,-,1,18,"['13', '14', '15', '16', '17', '18', '19', '1', '3', '5', '7', '9', '11']",13,producto final
SCLMELFEZ,Reserva vuelo con escala SCLMELFEZ,Reserva de vuelo entre SCL y FEZ con escala en MEL. Requiere un vuelo SCLMEL y un vuelo MELFEZ,2573,2,13,1,-,1,25,"['13', '14', '15', '16', '17', '18', '19', '2', '4', '6', '8', '10', '12']",13,producto final
SCLPEKIAD,Reserva vuelo con escala SCLPEKIAD,Reserva de vuelo entre SCL y IAD con escala en PEK. Requiere un vuelo SCLPEK y un vuelo PEKIAD,2713,2,13,1,-,1,27,"['1', '3', '5', '7', '9', '11', '2', '4', '6', '8', '10', '12']",12,producto final
SCLPEKCDG,Reserva vuelo con escala SCLPEKCDG,Reserva de vuelo entre SCL y CDG con escala en PEK. Requiere un vuelo SCLPEK y un vuelo PEKCDG,2450,2,17,1,-,1,24,"['1', '3', '5', '7', '9', '11', '1', '3', '5', '7', '9', '11']",12,producto final
